NU_ANO;CO_UF_RESIDENCIA;CO_MUNICIPIO_RESIDENCIA;NU_INSCRICAO;SG_UF_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;NU_IDADE;TP_SEXO;TP_ESCOLA;IN_DEFICIENCIA_FISICA;IN_BAIXA_VISAO;IN_DEFICIENCIA_AUDITIVA;IN_CADEIRA_CANHOTO;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_LINGUA;TP_STATUS_REDACAO;NU_NOTA_REDACAO;NOTA_MEDIA;Total Number of Sampling Units;Allocation Proportion;Sample Size;Actual Proportion of Total Sample Size;Probability of Selection;Sampling Weight
2015;11;1100015;150003943846;RO;Alta Floresta D'Oeste;26;F;1;0;0;0;0;522.5;468.5;412.1;377.7;0;1;420;440.16;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150003967171;RO;Alta Floresta D'Oeste;17;F;2;0;0;0;0;4.9;540.5;486.9;4.42;1;1;600;327.344;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004008532;RO;Alta Floresta D'Oeste;17;M;2;0;0;0;0;439.8;566.1;496.9;437.3;1;1;360;460.02;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004068302;RO;Alta Floresta D'Oeste;22;M;1;0;0;0;0;6.39;618.4;543.5;619.6;1;1;700;497.578;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004100491;RO;Alta Floresta D'Oeste;17;M;2;0;0;0;0;387.6;491.8;423.9;359.3;1;1;440;420.52;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004133988;RO;Alta Floresta D'Oeste;28;F;1;0;0;0;0;519.1;566.2;462.7;521.2;1;1;440;501.84;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004167730;RO;Alta Floresta D'Oeste;19;M;1;0;0;0;0;490.9;573.1;515.5;393.5;1;1;460;486.6;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004186076;RO;Alta Floresta D'Oeste;18;F;1;0;0;0;0;457.1;590.4;552.5;5.43;1;1;600;441.086;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004221018;RO;Alta Floresta D'Oeste;27;F;1;0;0;0;0;483.5;592.5;517.7;413.5;1;1;560;513.44;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004230701;RO;Alta Floresta D'Oeste;20;F;1;0;0;0;0;494.2;625.7;624.1;467.7;1;1;620;566.34;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004347803;RO;Alta Floresta D'Oeste;18;F;1;0;0;0;0;469.3;5.23;462.1;361.7;1;1;400;339.666;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004642690;RO;Alta Floresta D'Oeste;19;M;1;0;0;0;0;542.4;617.6;560.4;504.8;1;1;360;517.04;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004663349;RO;Alta Floresta D'Oeste;28;M;1;0;0;0;0;598.5;659.6;584.2;326.5;1;1;660;565.76;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004784178;RO;Alta Floresta D'Oeste;37;M;1;0;0;0;0;467.8;514.7;472.4;380.4;1;1;240;415.06;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150004787580;RO;Alta Floresta D'Oeste;21;M;1;0;0;0;0;480.2;534.2;408.9;353.5;1;1;520;459.36;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150005111985;RO;Alta Floresta D'Oeste;30;M;1;0;0;0;0;570.5;685.5;578.3;363.1;1;1;520;543.48;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150005165596;RO;Alta Floresta D'Oeste;18;F;2;0;0;0;0;479.2;476.4;431.9;433.1;1;1;540;472.12;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150005214360;RO;Alta Floresta D'Oeste;18;F;2;0;0;0;0;450.1;508.8;459.1;333.2;1;1;400;430.24;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150005394298;RO;Alta Floresta D'Oeste;27;M;1;0;0;0;0;5.03;618.5;525.7;470.2;1;1;480;419.886;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150005479171;RO;Alta Floresta D'Oeste;17;F;1;0;0;0;0;522.1;517.4;521.5;464.9;1;1;580;521.18;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150005784338;RO;Alta Floresta D'Oeste;24;M;1;0;0;0;0;514.1;459.7;3.16;406.7;1;1;480;372.732;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150006001496;RO;Alta Floresta D'Oeste;17;F;2;0;0;0;0;4.74;558.1;537.6;511.8;1;1;600;442.448;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150006106463;RO;Alta Floresta D'Oeste;18;M;1;0;0;0;0;523.6;565.1;442.7;384.6;1;1;600;503.2;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150006228618;RO;Alta Floresta D'Oeste;20;M;2;0;0;0;0;521.6;5.81;522.4;477.2;1;1;300;365.402;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150006497494;RO;Alta Floresta D'Oeste;23;M;1;0;0;0;0;465.1;611.5;473.6;598.8;1;1;620;553.8;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150006588420;RO;Alta Floresta D'Oeste;28;M;1;0;0;0;0;377.9;595.5;5.16;4.16;1;1;480;292.544;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150006632381;RO;Alta Floresta D'Oeste;28;F;1;0;0;0;0;493.4;518.9;451.6;339.7;1;1;420;444.72;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150006947235;RO;Alta Floresta D'Oeste;20;M;2;0;0;0;0;386.6;496.4;391.3;505.9;1;1;220;400.04;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150007193779;RO;Alta Floresta D'Oeste;31;M;1;0;0;0;0;410.4;561.9;458.5;365.5;1;1;260;411.26;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150007219113;RO;Alta Floresta D'Oeste;21;F;1;0;0;0;0;5.35;670.5;590.7;596.2;0;1;600;492.55;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150007364312;RO;Alta Floresta D'Oeste;28;F;1;0;0;0;0;527.2;563.6;551.5;3.8;1;1;580;445.22;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150007665468;RO;Alta Floresta D'Oeste;21;F;1;0;0;0;0;472.5;574.7;581.5;512.9;1;1;540;536.32;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150007725094;RO;Alta Floresta D'Oeste;20;M;1;0;0;0;0;436.8;495.6;376.6;418.4;1;1;360;417.48;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100015;150007726909;RO;Alta Floresta D'Oeste;52;F;1;0;0;0;0;453.4;556.4;437.4;444.7;1;1;500;478.38;583;0.0000435317;58;0.0000433077;0.0994854202;10.051724138
2015;11;1100023;150000073144;RO;Ariquemes;21;M;1;0;0;0;0;549.4;576.1;525.1;522.5;1;1;440;522.62;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000115937;RO;Ariquemes;20;F;1;0;0;0;0;4.38;590.1;510.6;422.9;0;1;580;421.596;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000122182;RO;Ariquemes;20;F;2;0;0;0;0;401.2;566.2;509.6;460.6;0;1;440;475.52;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000123237;RO;Ariquemes;28;F;1;0;0;0;0;501.7;443.4;356.8;371.1;1;1;360;406.6;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000157244;RO;Ariquemes;24;M;1;0;0;0;0;524.1;634.5;526.4;369.9;0;1;540;518.98;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000163987;RO;Ariquemes;18;F;2;0;0;0;0;454.4;574.9;530.4;456.9;1;1;560;515.32;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000209751;RO;Ariquemes;16;F;3;0;0;0;0;600.8;683.9;648.2;746.1;0;1;820;699.8;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000279901;RO;Ariquemes;21;F;1;0;0;0;0;515.7;5.93;531.8;465.6;1;1;480;399.806;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000289027;RO;Ariquemes;17;M;2;0;0;0;0;475.3;523.4;445.1;5.85;1;1;500;389.93;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000313050;RO;Ariquemes;19;M;1;0;0;0;0;466.8;447.2;409.5;350.3;1;1;540;442.76;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000325414;RO;Ariquemes;17;F;2;0;0;0;0;531.5;569.9;507.1;457.2;1;1;560;525.14;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000336737;RO;Ariquemes;25;M;1;0;0;0;0;595.2;680.2;653.8;456.2;1;1;620;601.08;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000376133;RO;Ariquemes;18;F;2;0;0;0;0;471.7;544.4;507.4;446.2;1;1;740;541.94;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000411370;RO;Ariquemes;18;M;2;0;0;0;0;497.5;592.7;5.03;402.3;0;1;360;371.506;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000445358;RO;Ariquemes;22;M;1;0;0;0;0;557.6;592.9;427.4;3.95;0;1;540;424.37;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000466801;RO;Ariquemes;22;M;1;0;0;0;0;551.5;633.3;533.7;5.09;0;1;360;416.718;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000468712;RO;Ariquemes;23;M;1;0;0;0;0;568.5;598.5;4.85;502.7;0;1;440;422.91;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000483945;RO;Ariquemes;19;F;1;0;0;0;0;400.5;5.47;512.9;354.2;1;1;740;402.614;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000485992;RO;Ariquemes;21;F;1;0;0;0;0;4.9;559.5;500.9;510.1;1;1;380;391.08;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000565043;RO;Ariquemes;18;F;2;0;0;0;0;424.2;598.3;553.6;4.08;0;1;440;404.036;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000578750;RO;Ariquemes;22;M;1;0;0;0;0;451.8;485.9;449.1;461.8;1;1;400;449.72;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000750706;RO;Ariquemes;24;F;1;0;0;0;0;433.9;5.45;470.6;400.7;0;1;540;370.13;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000777821;RO;Ariquemes;20;M;1;0;0;0;0;440.3;625.8;539.9;397.9;1;1;560;512.78;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000778768;RO;Ariquemes;20;F;1;0;0;0;0;458.3;574.1;498.6;3.55;1;1;560;418.91;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000849752;RO;Ariquemes;18;F;1;0;0;0;0;399.9;529.1;488.3;356.7;1;1;440;442.8;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000901520;RO;Ariquemes;22;F;1;0;0;0;0;4.95;620.1;565.5;590.4;1;1;600;476.19;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150000963655;RO;Ariquemes;21;F;2;0;0;0;0;455.4;445.8;368.5;368.4;1;1;200;367.62;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001078856;RO;Ariquemes;33;F;1;0;0;0;0;447.7;525.2;4.52;400.7;0;1;340;343.624;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001084880;RO;Ariquemes;25;M;1;0;0;0;0;438.9;556.2;460.4;398.4;1;1;440;458.78;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001132370;RO;Ariquemes;19;F;1;0;0;0;0;4.8;578.2;553.8;430.2;0;1;320;377.4;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001197277;RO;Ariquemes;18;M;2;0;0;0;0;551.2;629.9;543.3;483.9;0;1;560;553.66;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001299687;RO;Ariquemes;19;F;2;0;0;0;0;475.6;593.3;588.4;394.3;1;1;660;542.32;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001319526;RO;Ariquemes;17;F;2;0;0;0;0;5.17;600.4;484.7;372.7;0;1;560;404.594;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001360869;RO;Ariquemes;18;F;2;0;0;0;0;383.7;495.4;466.9;382.8;1;1;540;453.76;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001373610;RO;Ariquemes;33;F;1;0;0;0;0;4.57;543.7;428.1;366.8;1;1;420;352.634;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001387394;RO;Ariquemes;26;F;1;0;0;0;0;579.8;575.8;487.9;381.4;1;1;920;588.98;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001435798;RO;Ariquemes;23;M;1;0;0;0;0;396.5;511.6;4.78;410.6;0;1;520;368.696;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001444113;RO;Ariquemes;18;F;2;0;0;0;0;442.6;564.5;5.21;414.3;1;1;440;373.322;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001458932;RO;Ariquemes;33;M;1;0;0;0;0;578.7;5.83;532.2;497.9;1;1;500;422.926;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001461690;RO;Ariquemes;21;M;1;0;0;0;0;426.7;549.5;532.4;429.3;0;1;420;471.58;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001522100;RO;Ariquemes;25;F;1;0;0;0;0;399.2;515.2;508.1;356.8;1;1;360;427.86;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001524247;RO;Ariquemes;19;F;1;0;0;0;0;466.5;536.7;423.2;345.6;1;1;500;454.4;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001555854;RO;Ariquemes;17;F;2;0;0;0;0;441.1;539.1;486.6;521.7;0;1;540;505.7;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001586173;RO;Ariquemes;28;M;1;0;0;0;0;453.5;548.5;380.9;428.1;1;1;320;426.2;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001618790;RO;Ariquemes;25;F;1;0;0;0;0;451.3;496.8;499.4;394.1;1;1;500;468.32;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001624013;RO;Ariquemes;20;M;1;0;0;0;0;568.8;648.2;575.3;552.2;0;1;640;596.9;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001637479;RO;Ariquemes;17;M;2;0;0;0;0;491.5;610.5;348.4;513.1;1;1;480;488.7;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001665619;RO;Ariquemes;23;F;1;0;0;0;0;528.4;561.5;505.4;456.3;1;1;520;514.32;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001693392;RO;Ariquemes;22;F;1;0;0;0;0;385.3;528.3;441.8;327.9;1;1;600;456.66;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001736324;RO;Ariquemes;19;F;1;0;0;0;0;482.4;499.5;450.5;369.1;0;1;480;456.3;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001739785;RO;Ariquemes;23;F;1;0;0;0;0;390.4;516.3;516.2;4.35;1;1;400;365.45;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001756014;RO;Ariquemes;23;M;1;0;0;0;0;584.7;639.9;607.6;461.7;1;1;600;578.78;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001784118;RO;Ariquemes;17;M;3;0;0;0;0;689.1;720.6;611.5;760.3;1;1;720;700.3;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001798658;RO;Ariquemes;19;F;1;0;0;0;0;444.3;532.8;493.4;407.4;1;1;560;487.58;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001809423;RO;Ariquemes;17;F;1;0;0;0;0;455.3;6.28;572.6;463.6;1;1;620;423.556;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001868945;RO;Ariquemes;22;F;2;0;0;0;0;441.9;534.1;425.1;382.3;0;1;360;428.68;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001899936;RO;Ariquemes;20;M;1;0;0;0;0;597.9;645.3;595.8;681.9;1;1;600;624.18;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001932705;RO;Ariquemes;25;F;1;0;0;0;0;467.1;529.2;485.6;331.7;1;1;580;478.72;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001932736;RO;Ariquemes;20;M;1;0;0;0;0;551.3;624.9;591.2;622.3;1;1;600;597.94;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001940025;RO;Ariquemes;23;F;1;0;0;0;0;403.6;543.4;471.2;433.1;0;1;480;466.26;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001958954;RO;Ariquemes;18;M;2;0;0;0;0;393.6;590.1;498.8;498.4;1;1;520;500.18;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001981397;RO;Ariquemes;18;M;1;0;0;0;0;380.5;484.9;447.2;357.2;1;1;320;397.96;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150001990331;RO;Ariquemes;32;F;1;0;0;0;0;399.1;440.3;3.97;521.6;0;1;380;348.994;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150002002799;RO;Ariquemes;17;M;2;0;0;0;0;442.8;485.6;448.8;404.3;1;1;360;428.3;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150002015114;RO;Ariquemes;20;M;1;0;0;0;0;481.4;567.4;524.9;403.6;1;1;620;519.46;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150002074581;RO;Ariquemes;18;F;1;0;0;0;0;466.7;582.8;589.1;570.9;1;1;480;537.9;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150002091094;RO;Ariquemes;22;M;1;0;0;0;0;500.1;560.7;496.8;388.1;1;1;520;493.14;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150002096895;RO;Ariquemes;26;M;1;0;0;0;0;422.1;4.32;343.6;380.7;1;1;120;254.144;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150002122459;RO;Ariquemes;20;F;1;0;0;0;0;574.9;642.7;559.6;435.7;0;1;580;558.58;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
2015;11;1100023;150002157590;RO;Ariquemes;19;M;1;0;0;0;0;572.6;606.8;595.1;453.4;1;1;600;565.58;2695;0.0002012314;270;0.0002016046;0.1001855288;9.9814814815
